# 16:22:09.069:0: Opening log file on: Thu Apr 25 16:22:09 2013
# 16:22:09.070:0: DFW_BUILD_3_3_1_21 - 06/23/2011 12:29:11
# 16:22:09.070:0: DFW plugin directories: C:/WindRiver/workbench-3.3/dfw/host/x86-win32/dfwplugins
# 16:22:09.070:0: C:\WindRiver\workbench-3.3\dfw\x86-win32\bin\dfwserver.exe -protocol mi -io sockets -useregistry -session dfw-wb331-Nathan -registryhost 127.0.0.1 -ls+ C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwserver.log -lt+ C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwstatus.log 
# 16:22:09.088:1: Opening session 2cb9998
16:22:09.088:1: c:	\0012
16:29:30.833:2: c:	21-wrs-info-retrieve -t /IdInfo -id 2 default:{Name,ThreadId,Connected,TID,isDebuggable,Status,DebugStatus,CurrentDebugMode,{DebugModes/*},isVIOSupported,{Cores/*/{Name,ThreadId,Connected,isDebuggable,Status,DebugStatus,Plugin,Variant}},{OSInfo/{Name,Version,Description,IsTOSInitialized,IsAutoTOSInitialisation,KernelImage/{ObjFile,TimeStamp}}}},{ExecutionContext/Modules/*/{Id,TargetModuleId,Name,ObjFile,TimeStamp,Image,Symbols,MainModule,Reserved,Sections/*/{Name,Type,StartAddr,Count,IsExecutable,IsUninitialized,IsWritable},Properties/*/{name,value,children/*/value}}}}
# 16:29:30.856:0: MIClientThreadId =4 :: {objectid=0x3AC408, object-type=KernelTask}
# 16:29:30.859:0: MIClientThreadId =5 :: {objectid=0x3B00F0, object-type=KernelTask}
# 16:29:30.861:0: MIClientThreadId =6 :: {objectid=0x37BDD0, object-type=KernelTask}
# 16:29:30.863:0: MIClientThreadId =7 :: {objectid=0x3B3DC8, object-type=KernelTask}
# 16:29:30.865:0: MIClientThreadId =8 :: {objectid=0x3B7720, object-type=KernelTask}
# 16:29:30.868:0: MIClientThreadId =9 :: {objectid=0x3D44C8, object-type=KernelTask}
# 16:29:30.870:0: MIClientThreadId =10 :: {objectid=0x3DCA18, object-type=KernelTask}
# 16:29:30.872:0: MIClientThreadId =11 :: {objectid=0x3E4E68, object-type=KernelTask}
# 16:29:30.874:0: MIClientThreadId =12 :: {objectid=0x3E86C8, object-type=KernelTask}
# 16:29:30.876:0: MIClientThreadId =13 :: {objectid=0x3F03A0, object-type=KernelTask}
# 16:29:30.878:0: MIClientThreadId =14 :: {objectid=0x626798, object-type=KernelTask}
# 16:29:30.881:0: MIClientThreadId =15 :: {objectid=0x62C2A0, object-type=KernelTask}
# 16:29:30.883:0: MIClientThreadId =16 :: {objectid=0x62E8E0, object-type=KernelTask}
# 16:29:30.885:0: MIClientThreadId =17 :: {objectid=0x648870, object-type=KernelTask}
# 16:29:30.887:0: MIClientThreadId =18 :: {objectid=0x75E1D8, object-type=KernelTask}
# 16:29:30.889:0: MIClientThreadId =19 :: {objectid=0x7783C8, object-type=KernelTask}
# 16:29:30.891:0: MIClientThreadId =20 :: {objectid=0x788668, object-type=KernelTask}
# 16:29:30.894:0: MIClientThreadId =21 :: {objectid=0x80B9C8, object-type=KernelTask}
# 16:29:30.896:0: MIClientThreadId =22 :: {objectid=0x80FC68, object-type=KernelTask}
# 16:29:30.898:0: MIClientThreadId =23 :: {objectid=0x9674F8, object-type=KernelTask}
# 16:29:30.900:0: MIClientThreadId =24 :: {objectid=0x977798, object-type=KernelTask}
# 16:29:30.902:0: MIClientThreadId =25 :: {objectid=0x98D360, object-type=KernelTask}
# 16:29:30.904:0: MIClientThreadId =26 :: {objectid=0x995600, object-type=KernelTask}
# 16:29:30.907:0: MIClientThreadId =27 :: {objectid=0x819F50, object-type=KernelTask}
# 16:29:30.909:0: MIClientThreadId =28 :: {objectid=0x8221F0, object-type=KernelTask}
# 16:29:30.911:0: MIClientThreadId =29 :: {objectid=0x853C10, object-type=KernelTask}
# 16:29:30.913:0: MIClientThreadId =30 :: {objectid=0xA3ADE0, object-type=KernelTask}
# 16:29:30.915:0: MIClientThreadId =31 :: {objectid=0x22D2160, object-type=KernelTask}
# 16:29:30.918:0: MIClientThreadId =32 :: {objectid=0x22DA400, object-type=KernelTask}
# 16:29:30.920:0: MIClientThreadId =33 :: {objectid=0x23D3B40, object-type=KernelTask}
# 16:29:30.922:0: MIClientThreadId =34 :: {objectid=0x241B7C0, object-type=KernelTask}
# 16:29:30.924:0: MIClientThreadId =35 :: {objectid=0xB6D4E8, object-type=KernelTask}
# 16:29:30.926:0: MIClientThreadId =36 :: {objectid=0xBAB658, object-type=KernelTask}
# 16:29:30.927:0: MIClientThreadId =37 :: {objectid=0xC0E288, object-type=KernelTask}
# 16:29:30.928:0: MIClientThreadId =38 :: {objectid=0xC47420, object-type=KernelTask}
# 16:29:30.929:0: MIClientThreadId =39 :: {objectid=0xCF6EA0, object-type=KernelTask}
# 16:29:30.931:0: MIClientThreadId =40 :: {objectid=0xE27260, object-type=KernelTask}
# 16:29:30.932:0: MIClientThreadId =41 :: {objectid=0xE2D330, object-type=KernelTask}
# 16:29:30.933:0: MIClientThreadId =42 :: {objectid=0xE339C8, object-type=KernelTask}
# 16:29:30.934:0: MIClientThreadId =43 :: {objectid=0x10B18F0, object-type=KernelTask}
# 16:29:30.935:0: MIClientThreadId =44 :: {objectid=0x10BA048, object-type=KernelTask}
# 16:29:30.936:0: MIClientThreadId =45 :: {objectid=0x1067C08, object-type=KernelTask}
# 16:29:30.938:0: MIClientThreadId =46 :: {objectid=0x106CCC8, object-type=KernelTask}
# 16:29:30.939:0: MIClientThreadId =47 :: {objectid=0x1072DC0, object-type=KernelTask}
# 16:29:30.940:0: MIClientThreadId =48 :: {objectid=0x1078E90, object-type=KernelTask}
# 16:29:30.941:0: MIClientThreadId =49 :: {objectid=0x1364F28, object-type=KernelTask}
# 16:29:30.943:0: MIClientThreadId =50 :: {objectid=0x13665F0, object-type=KernelTask}
# 16:29:30.944:0: MIClientThreadId =51 :: {objectid=0x14CFBF8, object-type=KernelTask}
# 16:29:30.945:0: MIClientThreadId =52 :: {objectid=0x14D57E8, object-type=KernelTask}
# 16:29:30.946:0: MIClientThreadId =53 :: {objectid=0x14DBC60, object-type=KernelTask}
16:29:31.029:2: r:	21^done,i=["MPC5200","2","true","0x353820","true","running","running","Task",["Task","System"],"false",["MPC5200","3","true","false","running","running","ppccpuplugin","MPC5200"],"VxWorks","6.3","vxWorksVersion : VxWorks 6.3\\nsysBootLine : tffs=0,0(0,0)host:/c/ni-rt/system/vxWorks f=0x8","false","true","C:/WindRiver/WPILib/cRIOFRC_vxWorks","1354897424"]
16:29:31.029:2: r:	(gdb)
16:29:31.048:2: c:	22-wrs-info-retrieve -t /IdInfo -id 2 default:{ObjTypeList/*/{Name,Description,SingularName,PluralName,isDebuggable,IsCreatable,IsModifiable,IsDeletable,IsModuleLoadSupported,IsExecContext,IsSymContext,IsDataContext,{Children/*/{Name}},{Options/*/{Name,Type,Value,FieldName,Label,Description}},{Properties/*/{Type,ActionName,Description,NamedParameterList/*/{Name,Label,Description,ExclusiveFields},ParameterList/*,TypeList/*,DefaultValue/*}},{QueryNames/*/{Name,Description,publicQuery}},{QueryTemplates/*/{AttributeNames/*,AttributeTypes/*,AttributeListNames/*}}}}
